language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
English,9,16,7,1,5,1.2308417194901166e-10,0.75865857455101,0.75865857455101
English,12,26,7,1,1,1.2311030799850508e-10,0.8936939220770688,0.8936939220770688
English,1,37,7,1,1,1.2516885928598256e-10,0.9232197859850076,0.9232197859850076
English,16,33,7,1,1,1.2758572861363568e-10,0.807645300962702,0.807645300962702
English,32,24,6,2,2,1.3704127391326859e-10,0.8761167312616863,0.8761167312616863
English,33,42,7,1,2,1.4124016458095654e-10,0.8510915729256805,0.8510915729256805
English,10,5,2,1,1,1.4413489636154662e-10,0.8690238093385427,0.8690238093385427
English,26,37,7,1,1,1.4852309734473134e-10,0.8986421797908117,0.8986421797908117
English,9,2,7,1,1,1.5587350866447823e-10,0.7559989288990606,0.7559989288990606
English,34,49,7,2,2,1.579638723764574e-10,0.8382491641273109,0.8382491641273109
English,46,25,4,2,1,1.6261542151249938e-10,0.8640007290228454,0.8640007290228454
English,25,18,7,2,2,1.6267512517392475e-10,0.8799629063083965,0.8799629063083965
English,7,14,7,1,1,1.69771081695863e-10,0.9033691838275788,0.9033691838275788
English,8,9,7,1,1,2.0550820263899176e-10,0.8096107108599871,0.8096107108599871
English,23,14,6,1,1,2.2200316398371168e-10,0.8525978066355638,0.8525978066355638
English,18,11,6,1,1,2.2650982539564343e-10,0.9134710218077812,0.9134710218077812
English,32,41,7,2,2,2.3145365160485618e-10,0.8576987008942841,0.8576987008942841
English,32,13,5,2,1,2.384857885302633e-10,0.8363774942474106,0.8363774942474106
English,10,38,6,1,1,2.406392294845654e-10,0.8827051908371081,0.8827051908371081
English,6,27,5,1,1,2.6276910756603033e-10,0.8823223444064014,0.8823223444064014
English,4,17,5,1,1,2.6319951842001665e-10,0.9015598628222348,0.9015598628222348
English,34,27,5,1,1,2.9641433226367324e-10,0.8749120737724796,0.8749120737724796
English,25,40,7,2,2,3.0210681482578075e-10,0.8264419486397913,0.8264419486397913
English,18,27,4,1,1,3.2704452485440384e-10,0.8919872175082028,0.8919872175082028
English,15,14,7,1,1,3.3575582959397976e-10,0.7411717555443403,0.7411717555443403
English,6,47,7,1,1,3.478386342728326e-10,0.7687123743823664,0.7687123743823664
English,13,5,7,1,1,3.6590749501619096e-10,0.8462943981908003,0.8462943981908003
English,43,23,6,1,1,3.79506597089496e-10,0.8752790983430783,0.8752790983430783
English,25,39,7,2,2,3.881890841382626e-10,0.8825640974570214,0.8825640974570214
English,2,34,7,1,1,3.963459850971697e-10,0.8982811886765257,0.8982811886765257
English,26,41,7,1,1,4.00130289774285e-10,0.9201758561332763,0.9201758561332763
English,7,27,7,1,1,4.03299378560028e-10,0.8830174072179451,0.8830174072179451
English,13,23,7,1,1,4.150227454109008e-10,0.8619760461605231,0.8619760461605231
English,26,47,4,1,1,4.670137416207251e-10,0.7565802849804679,0.7565802849804679
English,2,32,7,2,1,4.694603116798216e-10,0.8926164753491233,0.8926164753491233
English,2,41,7,1,1,4.736240028276399e-10,0.9108109544994066,0.9108109544994066
English,2,5,7,1,1,4.896524987921236e-10,0.8344988369594373,0.8344988369594373
English,6,26,4,0,1,4.903394093557012e-10,0.9293431121299548,0.9293431121299548
English,43,22,7,1,1,5.280232931255653e-10,0.9095333975063078,0.9095333975063078
English,4,50,7,1,1,5.848930407764252e-10,0.847478581870326,0.847478581870326
English,32,43,7,2,1,6.214974985207835e-10,0.8862965707343284,0.8862965707343284
English,40,25,7,2,1,6.336733005405997e-10,0.8378399393004343,0.8378399393004343
English,4,41,5,1,1,6.464235014084665e-10,0.9208843695365956,0.9208843695365956
English,25,24,7,2,2,6.465731234992933e-10,0.865517332068632,0.865517332068632
English,22,14,5,1,1,7.104289760874442e-10,0.8923916798864816,0.8923916798864816
English,6,29,7,0,1,7.256132630015685e-10,0.8822658808958495,0.8822658808958495
English,7,17,6,1,1,7.439357672667741e-10,0.9061849739274864,0.9061849739274864
English,50,45,6,1,1,7.502952269642736e-10,0.8552597840074867,0.8552597840074867
English,10,30,5,1,1,7.95513106540796e-10,0.8590121061896293,0.8590121061896293
English,18,29,2,1,1,8.040715013885296e-10,0.8871203701496342,0.8871203701496342
English,12,44,7,1,1,8.4764298180175e-10,0.9122867560576884,0.9122867560576884
English,26,24,2,1,1,8.565537527100381e-10,0.9100423924545086,0.9100423924545086
English,23,40,6,1,1,8.807639468006012e-10,0.8600752668623232,0.8600752668623232
