language,source,target,p_lag,dmax,lead_days,ty_pvalue,pearson_r,abs_r
Arabic,26,38,3,1,2,0.009796428902091377,0.4798566562257296,0.4798566562257296
Arabic,21,24,3,0,3,0.009869348447029589,0.34371162073256095,0.34371162073256095
Arabic,43,15,1,0,1,0.010241473865669678,0.24949641622463467,0.24949641622463467
Arabic,26,7,1,0,1,0.010314903781950619,0.2510348728240301,0.2510348728240301
Arabic,17,22,5,1,4,0.010361296917710577,0.3364052442572758,0.3364052442572758
Arabic,47,19,1,0,1,0.010406415047807448,0.33018115901523115,0.33018115901523115
Arabic,47,50,1,0,1,0.010767959599592888,0.43444085606229405,0.43444085606229405
Arabic,34,3,4,1,4,0.011104952729329248,0.4760711183881886,0.4760711183881886
Arabic,30,50,1,0,1,0.011399533598584049,0.3883535407403575,0.3883535407403575
Arabic,19,14,4,0,4,0.011426528487078534,0.39169283048599957,0.39169283048599957
Arabic,35,38,4,1,1,0.011486969608566638,0.3927385983036272,0.3927385983036272
Arabic,26,36,2,0,2,0.011492942782946347,0.29762633885919676,0.29762633885919676
Arabic,41,48,5,1,3,0.011579552749422318,0.35381622487327014,0.35381622487327014
Arabic,30,33,3,1,3,0.0116772543315288,0.4090533128918601,0.4090533128918601
Arabic,28,6,4,1,4,0.011683908376532765,0.2766755616842191,0.2766755616842191
Arabic,47,41,1,0,1,0.011882733362096049,0.3470064285832658,0.3470064285832658
Arabic,11,28,3,1,3,0.012028606869035296,0.4726632340006191,0.4726632340006191
Arabic,14,18,2,1,7,0.012085050837912729,0.38895023196729683,0.38895023196729683
Arabic,47,3,4,1,3,0.012103891935370868,0.4122189213414701,0.4122189213414701
Arabic,31,12,1,0,1,0.012325678266237518,0.3383792561599232,0.3383792561599232
Arabic,17,28,1,1,6,0.012660635187046677,0.17643246221845105,0.17643246221845105
Arabic,38,11,1,1,1,0.012693029939808172,0.38250920918221065,0.38250920918221065
Arabic,50,7,1,0,1,0.012740593670436794,0.2460110847487467,0.2460110847487467
Arabic,34,50,1,1,1,0.012904190070185385,0.5002836502501823,0.5002836502501823
Arabic,10,6,2,1,2,0.013005207299133929,0.33489756305558555,0.33489756305558555
Arabic,27,48,2,1,1,0.01304330372778724,0.4364564908246336,0.4364564908246336
Arabic,35,40,4,1,4,0.013120341450891835,0.3516967363282043,0.3516967363282043
Arabic,14,25,4,1,1,0.013358417835019587,0.5939509941011406,0.5939509941011406
Arabic,48,24,5,1,4,0.013804864462832387,0.34670387058261354,0.34670387058261354
Arabic,48,14,4,1,4,0.013871439396767379,0.5045456571944991,0.5045456571944991
Arabic,47,43,2,0,3,0.013887788878228393,0.303056082186691,0.303056082186691
Arabic,20,7,1,0,1,0.014312951753119127,0.24035386896399477,0.24035386896399477
Arabic,32,14,4,1,4,0.014568120447107454,0.5372542127419313,0.5372542127419313
Arabic,47,45,1,0,1,0.01504903171280459,0.2905055921688314,0.2905055921688314
Arabic,29,39,2,1,1,0.01513726319270354,0.3420381175185198,0.3420381175185198
Arabic,31,37,4,1,4,0.015187544425253436,0.3919889254554516,0.3919889254554516
Arabic,29,5,4,1,4,0.015283291454860001,0.45151258479152373,0.45151258479152373
Arabic,29,41,2,1,1,0.01564480572309576,0.41135122901946597,0.41135122901946597
Arabic,35,1,1,0,2,0.01569753472265969,0.258194598720004,0.258194598720004
Arabic,37,23,3,1,2,0.01605875421386035,0.5217468710549342,0.5217468710549342
Arabic,22,31,4,1,4,0.016197837639120916,0.34500616151582486,0.34500616151582486
Arabic,29,10,3,1,4,0.01627627111427525,0.33672882958867395,0.33672882958867395
Arabic,47,42,1,0,1,0.016313801681719038,0.27577003175531406,0.27577003175531406
Arabic,27,5,4,1,3,0.01641464149934903,0.3893597141939676,0.3893597141939676
Arabic,41,38,4,1,2,0.016632647151103745,0.4127949898417711,0.4127949898417711
Arabic,21,2,2,1,2,0.016685242286263408,-0.22997802390437458,0.22997802390437458
Arabic,36,14,2,0,1,0.017073662887877643,0.2241205913587214,0.2241205913587214
Arabic,10,28,4,1,4,0.01719638426954059,0.39163084501182055,0.39163084501182055
Arabic,21,5,1,1,5,0.017372123215309336,0.12518557146626336,0.12518557146626336
Arabic,41,37,5,1,2,0.017928933538887637,0.2634800736578029,0.2634800736578029
Arabic,28,14,2,1,1,0.018115967035382357,0.5058721001108853,0.5058721001108853
Arabic,31,3,4,1,2,0.018227176329592604,0.3379177185542825,0.3379177185542825
Arabic,26,50,1,0,1,0.018555627197702464,0.4149643664634488,0.4149643664634488
Arabic,41,7,3,0,3,0.018597828751965716,0.30911586773483246,0.30911586773483246
Arabic,21,40,3,1,3,0.018602635983785604,0.26331100341006247,0.26331100341006247
Arabic,7,40,3,1,3,0.018703186897613047,0.3445742690135526,0.3445742690135526
Arabic,22,29,4,1,4,0.018872077582331837,0.31906719218448737,0.31906719218448737
